permno,adate,qdate,public_date,bm,TICKER
19393,2019/12/31,2020/06/30,2020/09/30,0.417,BMY
19393,2019/12/31,2020/06/30,2020/10/31,0.417,BMY
19393,2019/12/31,2020/09/30,2020/11/30,0.412,BMY
19393,2019/12/31,2020/09/30,2020/12/31,0.412,BMY
19393,2019/12/31,2020/09/30,2021/01/31,0.412,BMY
19393,2020/12/31,2020/12/31,2021/02/28,0.311,BMY
19393,2020/12/31,2020/12/31,2021/03/31,0.311,BMY
19393,2020/12/31,2020/12/31,2021/04/30,0.311,BMY
19393,2020/12/31,2021/03/31,2021/05/31,0.304,BMY
19393,2020/12/31,2021/03/31,2021/06/30,0.304,BMY
19393,2020/12/31,2021/03/31,2021/07/31,0.304,BMY
19393,2020/12/31,2021/06/30,2021/08/31,0.281,BMY
19393,2020/12/31,2021/06/30,2021/09/30,0.281,BMY
19393,2020/12/31,2021/06/30,2021/10/31,0.281,BMY
19393,2020/12/31,2021/09/30,2021/11/30,0.321,BMY
19393,2020/12/31,2021/09/30,2021/12/31,0.321,BMY
21124,2020/12/31,2021/06/30,2021/08/31,0.653,OGN
21124,2020/12/31,2021/06/30,2021/09/30,0.675,OGN
21124,2020/12/31,2021/06/30,2021/10/31,0.603,OGN
21124,2020/12/31,2021/09/30,2021/11/30,0.757,OGN
21124,2020/12/31,2021/09/30,2021/12/31,0.727,OGN
21186,2019/09/30,2019/09/30,2020/01/31,1.548,WRK
21186,2019/09/30,2019/12/31,2020/02/29,1.327,WRK
21186,2019/09/30,2019/12/31,2020/03/31,1.327,WRK
21186,2019/09/30,2019/12/31,2020/04/30,1.327,WRK
21186,2019/09/30,2020/03/31,2020/05/31,1.961,WRK
21186,2019/09/30,2020/03/31,2020/06/30,1.961,WRK
21186,2019/09/30,2020/03/31,2020/07/31,1.961,WRK
21186,2019/09/30,2020/06/30,2020/08/31,1.991,WRK
21186,2019/09/30,2020/06/30,2020/09/30,1.991,WRK
21186,2019/09/30,2020/06/30,2020/10/31,1.991,WRK
21186,2020/09/30,2020/09/30,2020/11/30,1.498,WRK
21186,2020/09/30,2020/09/30,2020/12/31,1.498,WRK
21186,2020/09/30,2020/09/30,2021/01/31,1.498,WRK
21186,2020/09/30,2020/12/31,2021/02/28,1.210,WRK
21186,2020/09/30,2020/12/31,2021/03/31,1.210,WRK
21186,2020/09/30,2020/12/31,2021/04/30,1.210,WRK
21186,2020/09/30,2021/03/31,2021/05/31,1.006,WRK
21186,2020/09/30,2021/03/31,2021/06/30,1.006,WRK
21186,2020/09/30,2021/03/31,2021/07/31,1.006,WRK
21186,2020/09/30,2021/06/30,2021/08/31,1.009,WRK
21186,2020/09/30,2021/06/30,2021/09/30,1.009,WRK
21186,2020/09/30,2021/06/30,2021/10/31,1.009,WRK
21186,2021/09/30,2021/09/30,2021/11/30,1.107,WRK
21186,2021/09/30,2021/09/30,2021/12/31,1.107,WRK
21792,2018/12/31,2019/09/30,2020/01/31,0.690,CNP
21792,2019/12/31,2019/12/31,2020/02/29,0.770,CNP
21792,2019/12/31,2019/12/31,2020/03/31,0.770,CNP
21792,2019/12/31,2019/12/31,2020/04/30,0.770,CNP
21792,2019/12/31,2020/03/31,2020/05/31,1.132,CNP
21792,2019/12/31,2020/03/31,2020/06/30,1.132,CNP
21792,2019/12/31,2020/03/31,2020/07/31,1.132,CNP
21792,2019/12/31,2020/06/30,2020/08/31,0.928,CNP
21792,2019/12/31,2020/06/30,2020/09/30,0.928,CNP
21792,2019/12/31,2020/06/30,2020/10/31,0.928,CNP
21792,2019/12/31,2020/09/30,2020/11/30,0.902,CNP
21792,2019/12/31,2020/09/30,2020/12/31,0.902,CNP
21792,2019/12/31,2020/09/30,2021/01/31,0.902,CNP
21792,2020/12/31,2020/12/31,2021/02/28,0.804,CNP
21792,2020/12/31,2020/12/31,2021/03/31,0.804,CNP
21792,2020/12/31,2020/12/31,2021/04/30,0.804,CNP
21792,2020/12/31,2021/03/31,2021/05/31,0.803,CNP
21792,2020/12/31,2021/03/31,2021/06/30,0.803,CNP
21792,2020/12/31,2021/03/31,2021/07/31,0.803,CNP
21792,2020/12/31,2021/06/30,2021/08/31,0.745,CNP
21792,2020/12/31,2021/06/30,2021/09/30,0.745,CNP
21792,2020/12/31,2021/06/30,2021/10/31,0.745,CNP
21792,2020/12/31,2021/09/30,2021/11/30,0.764,CNP
21792,2020/12/31,2021/09/30,2021/12/31,0.764,CNP
22517,2018/12/31,2019/09/30,2020/01/31,0.664,PPL
22517,2019/12/31,2019/12/31,2020/02/29,0.589,PPL
22517,2019/12/31,2019/12/31,2020/03/31,0.589,PPL
22517,2019/12/31,2019/12/31,2020/04/30,0.589,PPL
22517,2019/12/31,2020/03/31,2020/05/31,0.874,PPL
22517,2019/12/31,2020/03/31,2020/06/30,0.874,PPL
22517,2019/12/31,2020/03/31,2020/07/31,0.874,PPL
22517,2019/12/31,2020/06/30,2020/08/31,0.828,PPL
22517,2019/12/31,2020/06/30,2020/09/30,0.828,PPL
22517,2019/12/31,2020/06/30,2020/10/31,0.828,PPL
22517,2019/12/31,2020/09/30,2020/11/30,0.831,PPL
22517,2019/12/31,2020/09/30,2020/12/31,0.831,PPL
22517,2019/12/31,2020/09/30,2021/01/31,0.831,PPL
22517,2020/12/31,2020/12/31,2021/02/28,0.787,PPL
22517,2020/12/31,2020/12/31,2021/03/31,0.787,PPL
22517,2020/12/31,2020/12/31,2021/04/30,0.787,PPL
22517,2020/12/31,2021/03/31,2021/05/31,0.678,PPL
22517,2020/12/31,2021/03/31,2021/06/30,0.678,PPL
22517,2020/12/31,2021/03/31,2021/07/31,0.678,PPL
22517,2020/12/31,2021/06/30,2021/08/31,0.843,PPL
22517,2020/12/31,2021/06/30,2021/09/30,0.843,PPL
22517,2020/12/31,2021/06/30,2021/10/31,0.843,PPL
22517,2020/12/31,2021/09/30,2021/11/30,0.840,PPL
22517,2020/12/31,2021/09/30,2021/12/31,0.840,PPL
23660,2019/05/31,2019/11/30,2020/01/31,0.133,CTAS
23660,2019/05/31,2019/11/30,2020/02/29,0.133,CTAS
23660,2019/05/31,2019/11/30,2020/03/31,0.133,CTAS
23660,2019/05/31,2020/02/29,2020/04/30,0.135,CTAS
23660,2019/05/31,2020/02/29,2020/05/31,0.135,CTAS
23660,2019/05/31,2020/02/29,2020/06/30,0.135,CTAS
